cip_code,group
010308,STEM
010901,STEM
010902,STEM
010903,STEM
010904,STEM
010905,STEM
010906,STEM
010907,STEM
010999,STEM
011001,STEM
011002,STEM
011099,STEM
011101,STEM
011102,STEM
011103,STEM
011104,STEM
011105,STEM
011106,STEM
011199,STEM
011201,STEM
011202,STEM
011203,STEM
011299,STEM
018105,STEM
018106,STEM
018107,STEM
018108,STEM
018109,STEM
018110,STEM
018111,STEM
030101,STEM
030103,STEM
030104,STEM
030199,STEM
030205,STEM
030210,STEM
030501,STEM
030502,STEM
030508,STEM
030509,STEM
030510,STEM
030601,STEM
040902,STEM
090702,STEM
100304,STEM
110101,STEM
110102,STEM
110103,STEM
110104,STEM
110105,STEM
110199,STEM
110201,STEM
110202,STEM
110203,STEM
110299,STEM
110301,STEM
110401,STEM
110501,STEM
110701,STEM
110801,STEM
110802,STEM
110803,STEM
110804,STEM
110899,STEM
110901,STEM
110902,STEM
111001,STEM
111002,STEM
111003,STEM
111004,STEM
111005,STEM
111006,STEM
111099,STEM
130501,STEM
130601,STEM
130603,STEM
140000,STEM
140100,STEM
140101,STEM
140102,STEM
140103,STEM
140200,STEM
140201,STEM
140202,STEM
140299,STEM
140300,STEM
140301,STEM
140400,STEM
140401,STEM
140500,STEM
140501,STEM
140600,STEM
140601,STEM
140700,STEM
140701,STEM
140702,STEM
140799,STEM
140800,STEM
140801,STEM
140802,STEM
140803,STEM
140804,STEM
140805,STEM
140899,STEM
140900,STEM
140901,STEM
140902,STEM
140903,STEM
140999,STEM
141000,STEM
141001,STEM
141003,STEM
141004,STEM
141099,STEM
141100,STEM
141101,STEM
141200,STEM
141201,STEM
141300,STEM
141301,STEM
141400,STEM
141401,STEM
141800,STEM
141801,STEM
141900,STEM
141901,STEM
142000,STEM
142001,STEM
142100,STEM
142101,STEM
142200,STEM
142201,STEM
142300,STEM
142301,STEM
142400,STEM
142401,STEM
142500,STEM
142501,STEM
142700,STEM
142701,STEM
142800,STEM
142801,STEM
143200,STEM
143201,STEM
143300,STEM
143301,STEM
143400,STEM
143401,STEM
143500,STEM
143501,STEM
143600,STEM
143601,STEM
143700,STEM
143701,STEM
143800,STEM
143801,STEM
143900,STEM
143901,STEM
144000,STEM
144001,STEM
144100,STEM
144101,STEM
144200,STEM
144201,STEM
144300,STEM
144301,STEM
144400,STEM
144401,STEM
144500,STEM
144501,STEM
144700,STEM
144701,STEM
144800,STEM
144801,STEM
144802,STEM
144899,STEM
149900,STEM
149999,STEM
150000,STEM
150101,STEM
150201,STEM
150303,STEM
150304,STEM
150305,STEM
150306,STEM
150399,STEM
150401,STEM
150403,STEM
150404,STEM
150405,STEM
150406,STEM
150499,STEM
150501,STEM
150506,STEM
150507,STEM
150508,STEM
150599,STEM
150607,STEM
150611,STEM
150612,STEM
150613,STEM
150614,STEM
150615,STEM
150616,STEM
150699,STEM
150701,STEM
150702,STEM
150703,STEM
150704,STEM
150799,STEM
150801,STEM
150803,STEM
150805,STEM
150899,STEM
150901,STEM
150903,STEM
150999,STEM
151001,STEM
151102,STEM
151103,STEM
151199,STEM
151201,STEM
151202,STEM
151203,STEM
151204,STEM
151299,STEM
151301,STEM
151302,STEM
151303,STEM
151304,STEM
151305,STEM
151306,STEM
151399,STEM
151401,STEM
151501,STEM
151502,STEM
151503,STEM
151599,STEM
151601,STEM
151701,STEM
151703,STEM
159999,STEM
260000,STEM
260100,STEM
260101,STEM
260102,STEM
260200,STEM
260202,STEM
260203,STEM
260204,STEM
260205,STEM
260206,STEM
260207,STEM
260208,STEM
260209,STEM
260210,STEM
260299,STEM
260300,STEM
260301,STEM
260305,STEM
260307,STEM
260308,STEM
260399,STEM
260400,STEM
260401,STEM
260403,STEM
260404,STEM
260406,STEM
260407,STEM
260499,STEM
260500,STEM
260502,STEM
260503,STEM
260504,STEM
260505,STEM
260506,STEM
260507,STEM
260508,STEM
260509,STEM
260599,STEM
260700,STEM
260701,STEM
